Distr;D_stats;p_value;Parameters
alpha;0.038688;0.614000;(49.06433524185363, -0.6321147726769691, 71.3882406925488)
invgauss;0.039334;0.593000;(0.014798223429968765, 0.5702445992472869, 17.12184315185046)
erlang;0.041391;0.528000;(869.3802759007663, -0.052411576112558506, 0.0010075861992222797)
chi;0.041416;0.527000;(136.0883114227447, 0.33376526711156895, 0.042060695743702026)
invgamma;0.041484;0.525000;(2522.9477073976377, -0.6716478828941952, 3770.8489686393987)
gamma;0.042803;0.485000;(856.6552889136656, -0.04767236904677698, 0.001017131262306411)
fatiguelife;0.043286;0.470000;(0.007244228668448573, -3.2688470871846533, 4.092261553642073)
recipinvgauss;0.043747;0.457000;(0.0066928416440601105, 0.45622686903945175, 0.002445761591849651)
lognorm;0.043974;0.450000;(0.009059179521059998, -2.4425640310547174, 3.2660354487082643)
nakagami;0.045347;0.411000;(2390.2540519502936, -2.08355934919981, 2.9073225517096537)
betaprime;0.045412;0.410000;(2051.8379530588363, 1109.6943404723488, 0.017879069964946717, 0.4355241456484997)
f;0.045867;0.397000;(239924.6820103007, 325692.63882150094, -6.988065638699386, 7.811671778100617)
rice;0.046265;0.387000;(94.62407581618285, -1.9829696345773193, 0.029658939478209093)
norm;0.046283;0.386000;(0.8236378155009182, 0.029661232903227926)
exponnorm;0.046276;0.386000;(4.320698449470539e-06, 0.8236371773591473, 0.029661078134769755)
t;0.046526;0.380000;(72.05349818277689, 0.8236778391754462, 0.0292474303837564)
levy_stable;0.046509;0.380000;(1.9999971720346454, -0.9439093678434605, 0.8236537433876929, 0.02098042116032302)
gengamma;0.046663;0.376000;(57.27340613129458, 3.2269148270417833, 0.10010108765833386, 0.20676744813469955)
tukeylambda;0.047322;0.359000;(0.12132603531907318, 0.8237267410360046, 0.019846154744697933)
gennorm;0.048451;0.331000;(1.8441763021230404, 0.8237783599305765, 0.040092971950938854)
dgamma;0.051585;0.262000;(1.2867630990908456, 0.823379060186517, 0.018172289553984686)
pearson3;0.052207;0.250000;(-0.09031995554748451, 0.8236374466052179, 0.02965949453389142)
johnsonsb;0.052283;0.248000;(-17.31397607158603, 16.336024403427146, -1.0581662423705964, 2.534462144126375)
loggamma;0.052369;0.246000;(115.83965611563232, -0.6887678195610176, 0.3185430591731936)
powerlognorm;0.053030;0.234000;(2.190727126958943, 0.02179697946785974, -0.8642920872315836, 1.7110169073570214)
powernorm;0.053290;0.229000;(1.705126675660817, 0.8389521960252966, 0.034458740839942825)
johnsonsu;0.053274;0.229000;(1.1681976636459994, 5.648953672515727, 0.857796779280491, 0.16146289039907663)
fisk;0.053417;0.227000;(152437496.4739349, -2569426.204694604, 2569427.0287403627)
logistic;0.053414;0.227000;(0.8240457860432852, 0.01685784871097171)
weibull_max;0.053815;0.220000;(3.906757340027544, 0.9297255434215175, 0.11701795600034914)
beta;0.053786;0.220000;(125275175.03367412, 306.6677187316708, -212181.95091919048, 212183.29397056927)
exponweib;0.055443;0.192000;(1.2831713247218137, 3.861934854539827, 0.7055908373720046, 0.12289026685614803)
genlogistic;0.057896;0.156000;(0.88685467826492, 0.8270762927122199, 0.01612286846592753)
burr;0.058910;0.142000;(111.36723983784916, 0.8287645358068898, -0.9251081349746324, 1.7537359885315018)
mielke;0.059660;0.133000;(51.247099354591064, 64.9589965542125, -0.17640667291550474, 1.006141477044953)
hypsecant;0.061052;0.117000;(0.8242595125667436, 0.020099871681165865)
dweibull;0.064246;0.087000;(1.2137651853268943, 0.8246841817116779, 0.024831704513441764)
