Distr;D_stats;p_value;Parameters
beta;0.031209;0.703000;(1094.1058325124375, 8.978162889997947, -1.4010149843665511, 2.402224173151759)
pearson3;0.031247;0.701000;(-0.6619224446726634, 0.9816571385119995, 0.006497248279954524)
johnsonsu;0.032131;0.668000;(7.425404423759121, 3.8830722491079985, 1.0056199177989922, 0.00700266392552131)
powernorm;0.032679;0.647000;(779.8598815625031, 1.039663312199448, 0.018300797396189686)
exponweib;0.032891;0.639000;(1.1381266951134226, 17.15955619236373, 0.8824111046041381, 0.10147887026253338)
gumbel_l;0.048323;0.187000;(0.984711220955806, 0.005476283784568944)
johnsonsb;0.058602;0.062000;(1622186.800201652, 24394244.50802485, -308140.85441635293, 637471.3906537844)
