Distr;D_stats;p_value;Parameters
fatiguelife;0.145147;0.077000;(0.002753070049251941, -5.801010825249165, 6.781239795364158)
lognorm;0.145518;0.075000;(0.002941828534840967, -5.365381738511074, 6.345640650837206)
nakagami;0.145629;0.075000;(73823.12401617074, -9.204705949182838, 10.184942130405744)
exponnorm;0.145818;0.074000;(8.301276604387908e-05, 0.9802540008258089, 0.018723283705824087)
norm;0.145821;0.074000;(0.9802555420723772, 0.018723532012381482)
foldnorm;0.145821;0.074000;(4.846586968110719, 0.8895109071591831, 0.018723436022825654)
f;0.147560;0.069000;(672016.5490527599, 214370.25448118016, -4.410293288828511, 5.390441806196575)
t;0.148583;0.066000;(8.751149386619183, 0.9817406096319985, 0.01647166792366609)
alpha;0.149946;0.062000;(94.7807190351154, -0.8249206684456181, 171.07545902103448)
fisk;0.150287;0.061000;(223310743.4607583, -2328037.21821241, 2328038.2001524502)
logistic;0.150438;0.060000;(0.9819393312646968, 0.01043262354110046)
powerlognorm;0.151608;0.057000;(39.72766513748881, 0.03674982941436422, -0.05692574923623861, 1.1226432381047466)
