Distr;D_stats;p_value;Parameters
levy_stable;;;(2.0, nan, nan, nan)
logistic;;;(0.9988033946059982, -0.01310369611586747)
recipinvgauss;;;(0.0011394186680901116, -0.979003786194427, 0.0022365378205209917)
