Distr;D_stats;p_value;Parameters;Kolm Dist;edf
gumbel_l;0.059464;0.546000;(0.8362548986592272, 0.026818883057339944);0.084292;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
gompertz;0.060133;0.532000;(0.06597518300102562, 0.7506539080694252, 0.030230464855946416);0.081224;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
exponpow;0.062400;0.484000;(2.1018785365587793, 0.7469866736245947, 0.1035849671755078);0.078335;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
gengamma;0.066629;0.401000;(0.9223355600435892, 4.184108633353129, 0.7244454390696293, 0.1109603302800655);0.059809;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
exponweib;0.067357;0.388000;(1.0247473151998625, 4.138274872594488, 0.7193715640675051, 0.11294676710328785);0.060638;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
powerlognorm;0.070094;0.340000;(4.151483850380412, 0.04347261285832926, -0.09609068847441482, 0.9613023423712015);0.065711;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
powernorm;0.070662;0.331000;(2.4626189090692066, 0.8477978542007198, 0.03533258906194653);0.065836;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
johnsonsb;0.070799;0.329000;(-12.94429334094086, 10.412173356702649, -0.4638583739452944, 1.6585135742786212);0.064666;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
loggamma;0.070887;0.327000;(37.924272216117586, 0.20859893823981335, 0.1695056257238871);0.064964;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
pearson3;0.070890;0.327000;(-0.15875639966303606, 0.8226071151401968, 0.02770510386726869);0.064725;"[0.         0.00714286 0.01428571 0.02142857 0.02857143 0.03571429
 0.04285714 0.05       0.05714286 0.06428571 0.07142857 0.07857143
 0.08571429 0.09285714 0.1        0.10714286 0.11428571 0.12142857
 0.12857143 0.13571429 0.14285714 0.15       0.15714286 0.16428571
 0.17142857 0.17857143 0.18571429 0.19285714 0.2        0.20714286
 0.21428571 0.22142857 0.22857143 0.23571429 0.24285714 0.25
 0.25714286 0.26428571 0.27142857 0.27857143 0.28571429 0.29285714
 0.3        0.30714286 0.31428571 0.32142857 0.32857143 0.33571429
 0.34285714 0.35       0.35714286 0.36428571 0.37142857 0.37857143
 0.38571429 0.39285714 0.4        0.40714286 0.41428571 0.42142857
 0.42857143 0.43571429 0.44285714 0.45       0.45714286 0.46428571
 0.47142857 0.47857143 0.48571429 0.49285714 0.5        0.50714286
 0.51428571 0.52142857 0.52857143 0.53571429 0.54285714 0.55
 0.55714286 0.56428571 0.57142857 0.57857143 0.58571429 0.59285714
 0.6        0.60714286 0.61428571 0.62142857 0.62857143 0.63571429
 0.64285714 0.65       0.65714286 0.66428571 0.67142857 0.67857143
 0.68571429 0.69285714 0.7        0.70714286 0.71428571 0.72142857
 0.72857143 0.73571429 0.74285714 0.75       0.75714286 0.76428571
 0.77142857 0.77857143 0.78571429 0.79285714 0.8        0.80714286
 0.81428571 0.82142857 0.82857143 0.83571429 0.84285714 0.85
 0.85714286 0.86428571 0.87142857 0.87857143 0.88571429 0.89285714
 0.9        0.90714286 0.91428571 0.92142857 0.92857143 0.93571429
 0.94285714 0.95       0.95714286 0.96428571 0.97142857 0.97857143
 0.98571429 0.99285714]"
