Distr;D_stats;p_value;Parameters
gumbel_l;0.059464;0.546000;(0.8362548986592272, 0.026818883057339944)
gompertz;0.060133;0.532000;(0.06597518300102562, 0.7506539080694252, 0.030230464855946416)
exponpow;0.062400;0.484000;(2.1018785365587793, 0.7469866736245947, 0.1035849671755078)
gengamma;0.066629;0.401000;(0.9223355600435892, 4.184108633353129, 0.7244454390696293, 0.1109603302800655)
exponweib;0.067357;0.388000;(1.0247473151998625, 4.138274872594488, 0.7193715640675051, 0.11294676710328785)
powerlognorm;0.070094;0.340000;(4.151483850380412, 0.04347261285832926, -0.09609068847441482, 0.9613023423712015)
powernorm;0.070662;0.331000;(2.4626189090692066, 0.8477978542007198, 0.03533258906194653)
johnsonsb;0.070799;0.329000;(-12.94429334094086, 10.412173356702649, -0.4638583739452944, 1.6585135742786212)
loggamma;0.070887;0.327000;(37.924272216117586, 0.20859893823981335, 0.1695056257238871)
pearson3;0.070890;0.327000;(-0.15875639966303606, 0.8226071151401968, 0.02770510386726869)
johnsonsu;0.071471;0.318000;(2.5631315222521347, 6.439194325100818, 0.8900630062013616, 0.16309344108693014)
weibull_max;0.071602;0.316000;(3.5869362558434617, 0.9139680632896501, 0.10127321172040155)
beta;0.071728;0.314000;(258.0476590560055, 73.86424979764394, -0.12128172269873046, 1.2140368904885268)
gausshyper;0.072702;0.299000;(11.413176116372076, 17.906900627039953, -11.22854659250128, 16.18795755250278, 0.6314204083431461, 0.3507463068187192)
dweibull;0.075790;0.254000;(1.1888173710776857, 0.8238792650894453, 0.02293151953569516)
fatiguelife;0.078969;0.214000;(0.008104100183983068, -2.5962334243055434, 3.4188442814630875)
norm;0.079235;0.210000;(0.8226075138915702, 0.02770722041526913)
exponnorm;0.079235;0.210000;(0.0006328621004898249, 0.8225899959015082, 0.027707174627464082)
t;0.079231;0.210000;(558406.0995000186, 0.8226078351586676, 0.027707128157873132)
levy_stable;0.079235;0.210000;(1.9999998864151372, -0.6548669562801893, 0.8226075727358378, 0.019591895917687462)
tukeylambda;0.079550;0.207000;(0.13446905924569252, 0.822680798121899, 0.01887422942719803)
nakagami;0.080099;0.200000;(4110.847563617794, -2.731200771789199, 3.553879464831903)
f;0.080464;0.196000;(459822.481541533, 714482.6425429501, -9.549698812284507, 10.37220459022998)
burr;0.080998;0.190000;(161.40985591473532, 0.7726048819055433, -1.470717651063749, 2.2997187399894927)
genlogistic;0.081219;0.188000;(0.8074010286723154, 0.8280984649947905, 0.014467609080080233)
lognorm;0.081639;0.184000;(0.009702893269057815, -2.029870388590091, 2.852289404171483)
rice;0.081665;0.183000;(2.5713642551399296, 0.7417099866251757, 0.029138714682059252)
chi;0.082381;0.176000;(80.63874967431406, 0.4693447724812285, 0.03946202351732481)
invgamma;0.082579;0.174000;(4623.402016992743, -1.0644287852954646, 8722.465342562864)
gamma;0.082897;0.171000;(497.42297124138577, 0.20046492723912557, 0.0012507437287146645)
erlang;0.083083;0.169000;(407.8156897173335, 0.2566808695231033, 0.0013876541011704022)
gennorm;0.084431;0.156000;(1.7641932042318724, 0.8228098565028927, 0.036440363899444925)
logistic;0.084796;0.152000;(0.8231770950638359, 0.01570919214201657)
fisk;0.084794;0.152000;(8982294.345138926, -141104.5879458775, 141105.41112310323)
dgamma;0.085798;0.143000;(1.2597436864712066, 0.8236606391565, 0.01719800738745375)
alpha;0.086161;0.140000;(53.80752493011249, -0.6755006826316863, 80.57419693530855)
mielke;0.090894;0.104000;(3.83686488990287, 10.650890794240429, 0.7185153411690821, 0.12331057978492993)
hypsecant;0.091312;0.101000;(0.8233443928119444, 0.018666956933186974)
betaprime;0.091553;0.100000;(992.4412543650294, 1069.688904069727, 0.18682836316846674, 0.6840440192494583)
recipinvgauss;0.092846;0.092000;(0.006607130789698822, 0.47602443425197505, 0.0022733441087077573)
triang;0.094155;0.084000;(0.46763856025396716, 0.7479516114558769, 0.15650409930932666)
foldcauchy;0.100301;0.055000;(58.35009484868826, -0.10322139170193684, 0.0158844461454168)
invgauss;0.100442;0.055000;(0.01738078943809159, 0.5995595818536505, 12.808642766144107)
