Distr;D_stats;p_value;Parameters
loggamma;0.052366;0.785000;(3.3841033663752027, 0.8649454925263855, 0.06328846357300326)
powernorm;0.052517;0.782000;(50.20629333384271, 1.1127728553091847, 0.08017214697687852)
johnsonsu;0.053212;0.769000;(11.965698215824334, 5.036117993934501, 1.1143192235219728, 0.03345226331021374)
weibull_min;0.054001;0.753000;(7.835502422927313, 0.6884018129822969, 0.25933093351151915)
pearson3;0.055133;0.731000;(-0.6481841723274807, 0.9322931375033529, 0.03731872827917268)
gengamma;0.055591;0.721000;(0.7395966703780658, 7.822466908315705, 0.7313076608974964, 0.22730842013722424)
exponweib;0.056378;0.705000;(0.7188362834962094, 7.669223710896606, 0.7371312581226752, 0.21920805101182922)
gumbel_l;0.058385;0.664000;(0.9499746428058621, 0.031981970471558624)
mielke;0.061144;0.607000;(35.99692587652247, 63.49810021551872, -0.1259376809776851, 1.0762564338131528)
burr;0.061299;0.604000;(65.84724636050083, 0.5700465024135091, -0.16808028814887638, 1.118256518531133)
johnsonsb;0.062439;0.581000;(-1.4551126156719598, 1.7257008079619085, 0.7158877066136087, 0.31521097027058714)
weibull_max;0.064842;0.532000;(2.1742293133792936, 1.0084785340116376, 0.08597556636033446)
genextreme;0.064836;0.532000;(0.459915848128158, 0.9225033194804816, 0.03954163531745072)
genlogistic;0.065004;0.529000;(0.6595264005465329, 0.9463413108948795, 0.017901102575884297)
beta;0.066234;0.505000;(8.1646077509271, 3.1475918277958366, 0.7220533385373049, 0.2913833089117327)
powerlognorm;0.066728;0.495000;(11.26301743785865, 0.048787366345781596, -0.3995574229392621, 1.4389332169423863)
exponpow;0.068036;0.471000;(3.946502366925782, 0.7643795328494456, 0.20394834530995126)
fisk;0.078562;0.297000;(89432684.5998661, -1894718.722723859, 1894719.6563253095)
logistic;0.078548;0.297000;(0.9336016524515326, 0.021187991718864225)
dgamma;0.079957;0.278000;(1.5461984341823176, 0.9369579543398789, 0.019377834214771433)
betaprime;0.079954;0.278000;(24023.069851381537, 14769.416072842967, -2.598745321835705, 2.1709951685097915)
gennorm;0.081759;0.254000;(2.0997338080789203, 0.9321109283827617, 0.05342050739453874)
tukeylambda;0.081779;0.254000;(0.11429459856576277, 0.9325607663840374, 0.02456787321633021)
t;0.082418;0.246000;(1664.1596621413264, 0.9323024474548638, 0.03685154230529762)
levy_stable;0.082420;0.246000;(2.0, -1.0, 0.9322922597244634, 0.02858776443682105)
exponnorm;0.082465;0.246000;(0.0006581301027611807, 0.9322679201096535, 0.03687491699682878)
norm;0.082464;0.246000;(0.93229226017087, 0.0368749746642579)
f;0.082874;0.241000;(1728220.2098907, 1044080.4835100849, -20.167981351275273, 21.100187137582054)
hypsecant;0.083232;0.236000;(0.9337388757016094, 0.025494931398668687)
nakagami;0.083562;0.232000;(9190.409056950175, -6.141382429803019, 7.07368609290738)
fatiguelife;0.083580;0.232000;(0.0038588609204365, -8.602305498596095, 9.534508430739027)
lognorm;0.083883;0.229000;(0.007491340035215711, -3.9922808430196834, 4.924414021348252)
invgamma;0.084182;0.225000;(2486.892655677446, -0.9265538049716413, 4621.247047185778)
dweibull;0.084264;0.224000;(1.304038255669702, 0.9315857533255071, 0.032075007908097836)
recipinvgauss;0.085380;0.212000;(0.0037058021321394394, 0.3062376226501884, 0.002312743080030325)
alpha;0.087831;0.186000;(45.74821331191248, -0.7848872876559003, 78.51931224501098)
erlang;0.088519;0.179000;(313.888538418866, 0.2691577275418917, 0.002112154502401914)
gamma;0.090972;0.157000;(321.18251303022373, 0.2576126689531171, 0.002099132212526258)
invgauss;0.098349;0.103000;(0.010531592572610621, 0.5512750180688815, 36.125328152235255)
chi2;0.098971;0.099000;(229.40653925174564, 0.5224302713190601, 0.0017819906245724036)
loglaplace;0.106203;0.063000;(107.0645000291589, -2.2517842566708954, 3.185353574116373)
