sigma_ratio;Parameters
0.1;(-1.4240328549143113, 1.856948103507349, 0.8077676359149797, 0.21459258100698747)
0.2;(-1.6454888525291909, 1.6262623767283886, 0.8361866514018803, 0.1773549146501381)
0.4;(-2.4523910881158635, 1.5463675858825159, 0.8540639002375345, 0.15063186768142373)
0.54;(-2.0288140747441687, 1.6472550264002956, 0.9054853045977731, 0.09822636727237014)
0.8;(-1.7795222077971753, 1.580815878652151, 0.935566280433488, 0.0655429988944631)
1.0;(-2.767875489485623, 2.2384688625213762, 0.9243652753533238, 0.07872111297491366)
1.2;(-2.277365216879039, 2.0666590468990123, 0.935445598210852, 0.06668186446871574)
