sigma_ratio;Parameters
0.1;(37.57552978665914, 1.0597668707059271, 0.050410752861387464)
0.2;(772.9101786389565, 1.1482314663397384, 0.05832096970600521)
0.4;(3392.9014069719233, 1.1260625233750825, 0.04197587589606809)
0.54;(3352.8150854282276, 1.0939840730320565, 0.03189349385898225)
0.8;(8997.952225528348, 1.0778477909315352, 0.024412350955131647)
1.0;(1256.8004136226814, 1.048505591313369, 0.01925549255919694)
1.2;(1150.1629644487175, 1.0418670702462904, 0.01749123092883361)
