sigma_ratio;Parameters
0.1;(-0.577544403528014, 0.9520854812108546, 0.024272075693176)
0.2;(-0.8114470681840491, 0.9635335311649885, 0.0210443763447832)
0.4;(-0.957260865403117, 0.9758394411746767, 0.01396742690144616)
0.54;(-0.9335386915066533, 0.9799472978312844, 0.01057391985961217)
0.8;(-0.9142697826524194, 0.9839514719221316, 0.007686883338361051)
1.0;(-0.8265211258946912, 0.9848330330537132, 0.006626473734749646)
1.2;(-0.7197638882765358, 0.9844505012423019, 0.006059896970363968)
