sigma_ratio;Parameters
0.1;(3.329155689034269, 0.8582183340039733, 0.117338723672644)
0.2;(4.136455818041455, 0.8674618545472766, 0.11576236082985232)
0.4;(8.029267003800062, 0.8579946108208654, 0.1312491974614231)
0.54;(4.182502050129976, 0.9317219384758246, 0.058287129201415794)
0.78;(4.596429089989863, 0.9461774872037694, 0.044812079217964734)
1.0;(4.240255896080056, 0.9548582856599213, 0.0357104773038493)
1.22;(4.032226347641007, 0.9568551978247082, 0.03365779500376599)
