Distr;D_stats;p_value;Parameters
levy_stable;0.038520;0.620000;(2.0, -1.0, 0.8666666666666765, 0.032593844196209726)
weibull_min;0.043652;0.460000;(4.483184413552372, 0.6815064772917228, 0.20009307564450454)
exponpow;0.045248;0.414000;(2.5829569439227487, 0.7140399996208657, 0.19709349674624738)
beta;0.046636;0.377000;(17.176788272930416, 10.947009000451896, 0.5530927256141833, 0.509262153832588)
johnsonsb;0.046781;0.373000;(-1.0957546186181741, 2.978262342073153, 0.5225354682549058, 0.5803446234982915)
gengamma;0.047276;0.360000;(1.4568295830664881, 4.257742644336151, 0.64791322049168, 0.21109204907315357)
weibull_max;0.047358;0.358000;(3.1682407085207993, 0.9978188921856491, 0.14925529318524497)
exponweib;0.047481;0.355000;(1.3461053052334826, 4.458108449497761, 0.6508136404557681, 0.21939197656126594)
pearson3;0.049973;0.296000;(-0.1798497943257204, 0.8641266372047163, 0.04600796677803034)
powerlognorm;0.050361;0.288000;(13.85033380222627, 0.16601606040147288, 0.3567516781333113, 0.6698402280067199)
loggamma;0.050671;0.281000;(34.00285910327987, -0.07095415750525447, 0.266277989064568)
johnsonsu;0.050919;0.276000;(16.168355346643636, 14.24664571287186, 1.3963545542985187, 0.3806924586623579)
powernorm;0.051401;0.266000;(2.321048202702074, 0.9029676689503213, 0.057841456078779496)
gumbel_l;0.056152;0.181000;(0.8868178819535868, 0.04355517765996406)
gennorm;0.058561;0.147000;(2.049391933274321, 0.8640511753876492, 0.06585294632462696)
f;0.058870;0.143000;(641800.120487554, 1799076.6752047031, -21.539517900785345, 22.403688638555337)
t;0.059393;0.136000;(3510635.104323596, 0.8641260589250443, 0.04599216416484671)
norm;0.059393;0.136000;(0.864125708888742, 0.04599303196659837)
exponnorm;0.059392;0.136000;(7.953961490680581e-05, 0.8641221100551825, 0.04599324296824725)
tukeylambda;0.059563;0.134000;(0.1587453539945401, 0.8639221236359883, 0.03251877938192893)
nakagami;0.060300;0.126000;(9023.072321398076, -7.874301050383708, 8.738467170004734)
lognorm;0.060448;0.124000;(0.006847278131615326, -5.8399228373952905, 6.703927462078051)
fatiguelife;0.060875;0.119000;(0.008398267779314794, -4.615871645973826, 5.479772159387192)
mielke;0.062604;0.101000;(28.450634286252466, 38.69657068102066, -0.04100337045481796, 0.9171305893986322)
burr;0.062908;0.098000;(45.200729970926176, 0.7575460813960821, -0.20637206775393163, 1.081467051874131)
gamma;0.063334;0.095000;(473.8435332158971, -0.14327466789001375, 0.00212603644694452)
erlang;0.063783;0.091000;(493.25463235711766, -0.1670997056436061, 0.0020904204511256637)
chi;0.063800;0.090000;(146.58803133314285, 0.07313879663596906, 0.06542102921352808)
recipinvgauss;0.064036;0.088000;(0.005700354394952454, 0.24460420458154175, 0.0035151952168806944)
genlogistic;0.064343;0.086000;(0.9026570024362763, 0.8688434136427112, 0.02537733414531812)
logistic;0.066232;0.071000;(0.864771066451007, 0.02634780524323431)
fisk;0.066230;0.071000;(148658023.59304178, -3916755.2341422457, 3916756.098913706)
invgamma;0.066563;0.069000;(629.9967355583369, -0.30263519774443814, 733.8702657034473)
betaprime;0.066946;0.066000;(1111.8099780193095, 230.37991737812803, 0.14674607622132227, 0.1480467157493313)
chi2;0.069236;0.052000;(234.0766679643158, 0.3532506624929343, 0.0021805718977735223)
