Distr;D_stats;p_value;Parameters
gumbel_l;0.039440;0.408000;(0.9636408992504387, 0.021066446592661214)
exponpow;0.053174;0.114000;(3.329155689034269, 0.8582183340039733, 0.117338723672644)
pearson3;0.053932;0.105000;(-0.577544403528014, 0.9520854812108546, 0.024272075693176)
powernorm;0.053922;0.105000;(37.57552978665914, 1.0597668707059271, 0.050410752861387464)
johnsonsu;0.055280;0.091000;(11.530621312167467, 5.272219969705614, 1.0757235379949877, 0.027607906854669947)
johnsonsb;0.057796;0.068000;(-1.4240328549143113, 1.856948103507349, 0.8077676359149797, 0.21459258100698747)
beta;0.058948;0.059000;(9.53734794254672, 3.909284118716733, 0.8084995501490643, 0.20244995784512448)
