Distr;D_stats;p_value;Parameters
weibull_max;0.037735;0.645000;(2.591228400769297, 1.0060581262825123, 0.11532921199523338)
gengamma;0.039949;0.574000;(5.54847429571645, 1803079.4545379188, -169637.96795664448, 169638.71903354666)
levy_stable;0.040496;0.556000;(1.8721300867909068, -0.9999558256959016, 0.9023199865884768, 0.027942543087736076)
logistic;0.042065;0.507000;(0.9054527527416483, 0.02385541745355442)
fisk;0.042752;0.486000;(632960301.1765418, -15029667.373348724, 15029668.278808419)
t;0.042920;0.481000;(21.979375998104974, 0.9043528865799955, 0.040061464048714204)
tukeylambda;0.043352;0.468000;(0.08489758994099261, 0.904426575388808, 0.02671158694701372)
betaprime;0.043447;0.466000;(4046.1126644829483, 11803.873483373696, -1.426385973860218, 6.797378933045103)
fatiguelife;0.043575;0.462000;(0.003963207520604304, -9.684542636213623, 10.588181701776334)
nakagami;0.043979;0.450000;(6700.676553750414, -5.9683659001834, 6.872131292945605)
norm;0.044147;0.445000;(0.9035576776284434, 0.04203265512252689)
rice;0.044145;0.445000;(82.77305458842544, -2.5759799164931634, 0.042034017254454874)
exponnorm;0.044154;0.445000;(3.4629701955089814e-06, 0.9035571391266091, 0.04203153825960193)
gennorm;0.044288;0.441000;(1.8788138600709878, 0.9040270166868198, 0.05743692922928479)
powerlognorm;0.044330;0.440000;(19.350075508461593, 0.01572771173925451, -4.154416204672184, 5.207510000672844)
beta;0.044751;0.428000;(837460978.8367441, 15.108761024057568, -9056009.031061012, 9056010.09800099)
f;0.044779;0.427000;(3070023.8282600027, 3009357.440467989, -35.807552525009854, 36.710992321254054)
johnsonsb;0.044934;0.423000;(118434075.95221967, 65099084.929072514, -3165042.5903844144, 22685368.091401964)
pearson3;0.044952;0.422000;(-0.5181486244449895, 0.903557313016423, 0.04205530997545737)
loggamma;0.046088;0.391000;(3.7842401307637044, 0.8122057100236069, 0.07657717745667114)
johnsonsu;0.046333;0.385000;(10.663245559402721, 5.468973999186062, 1.122905696764171, 0.06264773790823341)
exponweib;0.046678;0.376000;(1.2523834708204915, 8.591804426923881, 0.5560472946295658, 0.35770368854015394)
alpha;0.047012;0.367000;(48.482942030727564, -1.1647477226939578, 100.25058975444901)
lognorm;0.047122;0.364000;(0.00343299037487357, -11.318669076845179, 12.22189622172153)
weibull_min;0.047291;0.360000;(7.690928611130619, 0.6295613094603647, 0.29146708472099037)
powernorm;0.047560;0.353000;(29.568065435760083, 1.0762643644915597, 0.0847917630587112)
chi;0.048421;0.332000;(228.01593003353543, 0.0005777214139922882, 0.05983994230962014)
invgamma;0.049234;0.313000;(2066.3387063407754, -1.0345646008363913, 4002.5837233130187)
hypsecant;0.050517;0.284000;(0.9062621007530381, 0.028589838752043226)
exponpow;0.051508;0.264000;(3.7007730050794314, 0.7175116944361122, 0.22762333573306387)
recipinvgauss;0.053005;0.234000;(0.006365910047657445, 0.3540800259031288, 0.0034808437130367893)
dweibull;0.053994;0.216000;(1.31458457818436, 0.9024578401524523, 0.036423501252551685)
chi2;0.057866;0.156000;(349.8033076375417, 0.33022818846692314, 0.0016375526621810726)
genlogistic;0.060001;0.129000;(0.558966940653176, 0.9245132825829598, 0.01845365500155939)
burr;0.063006;0.098000;(54.51710915948229, 0.47084984548139164, -0.014967093098005372, 0.9440196896859764)
mielke;0.063531;0.093000;(4.799424612930786, 17.595170207391476, 0.6891955465377746, 0.25277422404839933)
gumbel_l;0.067288;0.064000;(0.9236342311456532, 0.03697416040031321)
