Distr;D_stats;p_value;Parameters
genextreme;0.075976;0.006000;(-0.3699794091813863, 0.02287604824385113, 0.025741376597271957)
nct;0.076117;0.006000;(2.828765274690971, 15.197818994969168, -0.039079033165861934, 0.0041986940285569235)
invgamma;0.076876;0.005000;(3.0358721966836257, -0.024312442262159922, 0.15464109039705098)
invgauss;0.079283;0.004000;(0.9195849751164096, -0.011038379766730444, 0.06548711068238303)
alpha;0.080592;0.003000;(3.0547152333945107, -0.06786536286160329, 0.31316548982127185)
wald;0.079977;0.003000;(-0.010272538755189934, 0.05987680770541473)
fatiguelife;0.084047;0.002000;(1.0792234941338368, -0.00618161028377358, 0.034578153799517425)
lognorm;0.083083;0.002000;(0.9594193858782125, -0.006720651558872909, 0.03734818599107663)
gilbrat;0.084346;0.002000;(-0.005943159569707703, 0.036080381721796145)
johnsonsu;0.083052;0.002000;(-5.710847581187517, 1.0392725734513921, -0.006662250125995429, 0.0003056858210778629)
triang;0.417925;0.000000;(0.14959077636510495, -0.0697908166164028, 0.49460870200600543)
t;0.152537;0.000000;(3.43581575961446, 0.03893207933951294, 0.03234706810697658)
mielke;0.303162;0.000000;(0.3364052291928834, 1.8848079342714474, -3.8190820865820964e-31, 0.4095878826923069)
maxwell;0.144487;0.000000;(-0.053431979062314824, 0.06650540807247288)
uniform;0.671321;0.000000;(0.0, 0.42424242424242425)
lomax;0.120000;0.000000;(3.4125422643520675, -2.4619487409220884e-10, 0.1328076606236098)
vonmises;112403446155061113910035458916614144.000000;0.000000;(1.7520788023946574, 0.022393036808685814, 5.751184775685469e-37)
loglaplace;0.236447;0.000000;(0.6811405632157337, -5.328576678185401e-25, 0.0519189755281711)
loggamma;0.183501;0.000000;(2076.9877632159905, -18.81766227327858, 2.4699463251528293)
logistic;0.155116;0.000000;(0.04234175373217983, 0.02498003357568026)
levy_stable;0.201273;0.000000;(2.0, 1.0, 0.03719008264463752, 0.031415494625312936)
levy_l;0.632709;0.000000;(0.4319373487461119, 0.3510820915003357)
levy;0.223882;0.000000;(-0.003196296040943764, 0.014592522110826123)
vonmises_line;1.000000;0.000000;(1.305344435891511, 3.740755722599845, 3.075766220373477e-29)
weibull_min;0.204301;0.000000;(0.5663218690050331, -1.1433848767525323e-31, 0.03382017907951734)
laplace;0.172973;0.000000;(0.0371900826446281, 0.03503627238907411)
kstwobign;0.130512;0.000000;(-0.09222941603850363, 0.16515117206657487)
nakagami;0.126853;0.000000;(0.2892904734139529, -7.313008595005093e-30, 0.0823718294791588)
ncx2;0.342476;0.000000;(0.47406808621207785, 0.314779482748756, -4.254059791689096e-28, 0.34906325995431725)
tukeylambda;0.157198;0.000000;(-0.18390112013131266, 0.0383209659523155, 0.018874964363940858)
powernorm;1.000000;0.000000;(5.478383056290972e-06, -0.017425112281629303, 0.00014037070512392449)
semicircular;1.000000;0.000000;(1.4603030303030349, 1.7713673130891325e-31)
recipinvgauss;0.197152;0.000000;(11724879.512848675, -2.1786346145970637e-16, 0.03995322270720961)
rice;0.157683;0.000000;(0.00043627898561528146, -0.0285669707131595, 0.06626699494248728)
rayleigh;0.157683;0.000000;(-0.02856697012573495, 0.06626699426386831)
reciprocal;0.183718;0.000000;(0.03383755231833167, 1.9502154544784607, 0.004256230599577595, 0.10691625944589903)
rdist;1.000000;0.000000;(1.305344431897438, 1.155812264204858, 1.314849049289564e-29)
truncexpon;0.457401;0.000000;(1.3226599429811317, -0.040862911729389634, 0.3516439266500536)
ncf;0.172494;0.000000;(1.2815798606895057, 1.4132385675543753, 1.3636800425475442, -2.2932161090563107e-07, 0.011232894673874984)
powerlognorm;0.107477;0.000000;(56.27534317338201, 3.130659807675851, -0.0005121662338289952, 30.33448986600572)
powerlaw;0.245608;0.000000;(0.21595710534808493, -6.246747721649536e-30, 0.4364828325324731)
pearson3;0.193778;0.000000;(2.366973413604504, 0.03114079411138714, 0.036854715870092536)
ksone;0.678907;0.000000;(1.0000003688814267, -4.120360587291692e-09, 0.4379001806034495)
norm;0.173617;0.000000;(0.049182049132353765, 0.05232321723614158)
truncnorm;0.173618;0.000000;(-17.90969710022047, 8.808389279067702, 0.04918199462662649, 0.05232329160280104)
pareto;0.120000;0.000000;(2.1381373909214307, -0.07543028152584508, 0.07543028117938291)
invweibull;0.642273;0.000000;(0.036771934123808095, -4.1790483726288394e-26, 0.9078119434440781)
johnsonsb;0.092489;0.000000;(1.9136681748195554, 0.7281572662586214, -0.0023697733401184867, 0.4599256248345759)
cosine;1.000000;0.000000;(4.562773366856572, 1.1316090975575477e-38)
exponpow;0.225624;0.000000;(0.6440008469003697, -9.756826422229893e-30, 0.14646942179029784)
exponweib;0.120000;0.000000;(0.5870224255530784, 1.1302940095535696, -5.269494632078164e-34, 0.06293155295011237)
exponnorm;0.118999;0.000000;(3396.8274129954243, -4.901367384392731e-05, 1.4411655485673045e-05)
expon;0.120000;0.000000;(0.0, 0.049182049132353765)
erlang;0.851282;0.000000;(0.007256301032161091, -1.9023695370759403e-29, 0.3871999770158285)
dweibull;0.167200;0.000000;(1.0881831264773898, 0.039547026002493865, 0.03636978197168925)
dgamma;0.165844;0.000000;(1.2739345508014366, 0.03960351508314627, 0.027548086048346555)
chi2;0.120000;0.000000;(1.6200622893931191, -5.828998799151384e-30, 0.031408813396280245)
fisk;0.093812;0.000000;(1.472053376990182, -0.0029235403225299694, 0.034095838831749666)
