Distr;D_stats;p_value;Parameters
chi;0.247530;0.000000;(0.35747239188507607, -3.0135916031921705e-31, 0.08561303334456428)
cauchy;0.198188;0.000000;(0.03307802790452627, 0.023746134206919206)
burr;0.139820;0.000000;(2.5131719452664445, 0.25546962299039827, -5.927451734048516e-26, 0.06571150935603322)
bradford;0.468575;0.000000;(4.253319878142845, -0.009601628595620575, 0.433844052891347)
betaprime;0.313186;0.000000;(0.34927547883839993, 1.9738354125751352, -2.2433088702061968e-30, 0.7832677148345035)
beta;0.210556;0.000000;(0.5354305733171019, 338.40103174018316, -1.5339409376807165e-29, 22.260087520339198)
arcsine;0.602308;0.000000;(-7.379304494513689e-29, 0.4361768720331489)
f;0.174243;0.000000;(1.0458633564601307, 2.546202428520635, -6.173571110802025e-31, 0.045439951669034105)
foldcauchy;0.120000;0.000000;(0.5290690193526764, -7.618954040234328e-11, 0.03053520913436085)
anglit;1.000000;0.000000;(1.0938487907504877, 4.5264363902301907e-38)
gompertz;0.120000;0.000000;(20782006354.19841, -4.6236791215237054e-14, 1015776424.0823956)
hypsecant;0.161487;0.000000;(0.040161406038530134, 0.029749857322985435)
halfgennorm;0.120000;0.000000;(1.0864769400774197, -7.336673422640125e-10, 0.055988616572447025)
halfnorm;0.163290;0.000000;(-1.3108160541617303e-09, 0.07180520400380902)
halflogistic;0.120000;0.000000;(-3.6229620157824604e-10, 0.03654063457653395)
halfcauchy;0.121855;0.000000;(-7.918474796339035e-09, 0.032346927912052834)
gumbel_l;0.337877;0.000000;(0.08060902323951473, 0.09098148276426127)
gumbel_r;0.110352;0.000000;(0.028745365950033627, 0.03190271413109226)
genhalflogistic;0.120000;0.000000;(0.06538533123281762, -1.5653647454856923e-09, 0.03848805514488328)
foldnorm;0.163306;0.000000;(0.0002420073279610119, -7.45677007317879e-15, 0.07180948727151765)
gengamma;0.120000;0.000000;(0.6551683090128735, 1.140098954312191, -1.5491784191896715e-31, 0.06925638290299313)
gamma;0.120000;0.000000;(0.6948512818941488, -3.952340663603272e-30, 0.07061652038419239)
gausshyper;0.266553;0.000000;(0.4043612092693951, 1.7501513346963324, 2.3230603811721884, -0.12343083836645687, -4.9079088285079625e-32, 0.47721788145856314)
genexpon;0.120000;0.000000;(2.2697332102535173, 1.4824280021042036, 1.8522012665654444e-07, -5.01751787712552e-09, 0.11163620145196568)
gennorm;0.173126;0.000000;(1.0035958823020152, 0.037190059142046636, 0.035216151963667806)
genpareto;0.120000;0.000000;(0.57822823811372, -1.5100835713471172e-10, 0.031366729115948504)
genlogistic;0.110865;0.000000;(1252.1978257019382, -0.198732425518807, 0.03190066403981348)
weibull_max;0.110583;0.000000;(61941002.2771592, 1981103.6695830945, 1981103.6408090994)
