Distr;D_stats;p_value;Parameters
beta;0.041930;0.755000;(8.653552310268214, 2.805456023589008, 0.835239130641008, 0.17039388880307432)
johnsonsb;0.042848;0.732000;(-1.8183116351855821, 1.7769350022140808, 0.825468400748668, 0.19158257372936155)
exponweib;0.047479;0.609000;(0.7486001178260474, 9.073283009963896, 0.8343187697687153, 0.14237373578536164)
pearson3;0.049414;0.558000;(-0.7460594938411108, 0.963876343173646, 0.02073916272234238)
gumbel_l;0.049746;0.549000;(0.9735783160683765, 0.01741567093477645)
johnsonsu;0.051045;0.516000;(10.657428384182342, 4.229850651013475, 1.048950166564338, 0.01341034304381905)
powernorm;0.052195;0.487000;(223.46923007104397, 1.108764322397235, 0.05206472454041406)
exponpow;0.566074;0.000000;(0.4472030560248669, 0.8766365231475232, 0.7339346804455462)
gengamma;0.510502;0.000000;(0.09941930174716243, 3.7514650980880972, 0.8766365231475232, 0.9566704200167185)
