Distr;D_stats;p_value;Parameters
johnsonsb;0.088149;0.270000;(-3.245176077879637, 2.3259055430184583, 0.5204729664029811, 0.5228969765628619)
beta;0.089104;0.258000;(33.65067549084458, 4.992024063608061, 0.3409335861543742, 0.6823030463861909)
exponnorm;0.089767;0.251000;(5.269838132400715e-06, 0.9350922098483913, 0.03630324151794501)
norm;0.089766;0.251000;(0.935092382015922, 0.03630351174012513)
nakagami;0.089901;0.249000;(43519.5979573559, -14.258346860788741, 15.193469693496574)
recipinvgauss;0.090621;0.241000;(0.0032744391346091768, 0.2814882722616674, 0.0021358875362996917)
lognorm;0.090891;0.238000;(0.002733672138648967, -12.293349890030989, 13.228358617654784)
f;0.091040;0.237000;(6151569.427086515, 2639811.6116308747, -34.05344654309535, 34.98840211616101)
fatiguelife;0.091165;0.235000;(0.002866678651551934, -11.674373877053561, 12.609360624036054)
chi;0.092321;0.223000;(364.91850223488996, -0.0561857947635834, 0.05192356225140246)
weibull_max;0.093240;0.214000;(2.0728515737027804, 1.0071920860006025, 0.08131287259828286)
genextreme;0.093205;0.214000;(0.4824002960032018, 0.9258755355664032, 0.039227722566894024)
mielke;0.093641;0.209000;(5.016665064845428, 22.07172706612827, 0.7356944934144652, 0.23525508374696774)
invgamma;0.095093;0.195000;(4622.505432709506, -1.5471126469822973, 11470.742666637801)
levy_stable;0.095355;0.193000;(2.0, -1.0, 0.9384615384615463, 0.02578076964646587)
gompertz;0.096087;0.186000;(0.004794229929799116, 0.786632187718469, 0.030910911085951898)
gumbel_l;0.098682;0.164000;(0.9520936699057033, 0.03039657184901372)
alpha;0.099376;0.158000;(53.089829937626135, -1.0264350371054456, 104.08398681725492)
betaprime;0.100626;0.149000;(45.96946413127151, 466780.5324204444, 0.6621960122051957, 2774.121184989597)
exponpow;0.104302;0.123000;(4.380478298229039, 0.7550798588136859, 0.2146174761819315)
rayleigh;0.110373;0.088000;(0.8760260768452868, 0.04902434788539266)
invgauss;0.110875;0.086000;(0.008494571603949255, 0.5138555196403689, 49.51145295887878)
cauchy;0.118187;0.056000;(0.941152154531044, 0.02134453661275633)
