Distr;D_stats;p_value;Parameters
t;0.043334;0.469000;(16.173023038895863, 0.7615468140825319, 0.03696484146344382)
tukeylambda;0.045057;0.419000;(0.07227461878920324, 0.7614074041891261, 0.024463335973436834)
invgamma;0.045099;0.418000;(671.9726021095189, -0.24807235379715298, 678.0421447927338)
norm;0.045590;0.405000;(0.7624808559455403, 0.03943410640148248)
loggamma;0.047255;0.361000;(1773.9073925906378, -11.730104373328217, 1.669975379389582)
rice;0.048656;0.327000;(2.601439364747175, 0.6466626796761612, 0.0413196353952202)
gennorm;0.050655;0.281000;(1.6508236721230456, 0.7611443185454254, 0.049555909660613996)
dweibull;0.053496;0.225000;(1.192761010158748, 0.7607125427987638, 0.03251195395490605)
nakagami;0.053689;0.222000;(3.8731056339415044, 0.6103024503474057, 0.15720467424198337)
levy_stable;0.055045;0.198000;(1.8649387771184507, 0.9998185697486561, 0.7638307342363051, 0.026355391822211274)
powernorm;0.055809;0.186000;(0.19376909918195676, 0.7180958687462873, 0.022180589823658958)
logistic;0.057484;0.161000;(0.7605681726625206, 0.02213095711908424)
ncx2;0.058537;0.147000;(56.47493712891874, 5.5720986522033025, 0.5526325583956085, 0.0033820887575519787)
erlang;0.058593;0.146000;(28.71278732833097, 0.5517273275380481, 0.007340057761983915)
gamma;0.058592;0.146000;(28.712793018248117, 0.5517273473230475, 0.007340056063963372)
pearson3;0.058590;0.146000;(0.37320833970281175, 0.7624808347455263, 0.03933088534561825)
beta;0.058650;0.146000;(28.183116524432663, 61229.61597005372, 0.5536348598140186, 453.97398440455584)
chi2;0.058592;0.146000;(57.42563057590442, 0.5517272632695622, 0.0036700266718185694)
gengamma;0.059198;0.139000;(13.286565641996773, 1.2863961135746196, 0.5778698427606958, 0.02486381464102551)
fatiguelife;0.059668;0.133000;(0.13083027271654896, 0.4622739160643776, 0.2976606615131647)
recipinvgauss;0.059670;0.133000;(0.017271133367015093, 0.46297687170651347, 0.005084943693419528)
johnsonsb;0.059801;0.131000;(15.71742457107974, 6.3778989898525715, 0.4905189386010479, 3.4364823237549915)
ncf;0.060075;0.128000;(208.12071665304805, 225.70291672083903, 0.9952612295670202, 0.4749353095776815, 0.28367531120597267)
lognorm;0.060152;0.127000;(0.13286850159118552, 0.4674644683097382, 0.2924234702681402)
powerlognorm;0.060208;0.127000;(0.9040365541939832, 0.1225409080679542, 0.45243423261565546, 0.30411241004558454)
f;0.060537;0.123000;(312.4970537434881, 210.30494727670646, 0.45263374293530273, 0.3068983260007923)
alpha;0.061122;0.116000;(14.610602277912879, 0.1949750316158783, 8.252363660386923)
weibull_max;0.061719;0.110000;(5.991085045317129, 0.9657282597590736, 0.21899705371828132)
genextreme;0.061710;0.110000;(0.16688366516319433, 0.7467332535444695, 0.03655046986006319)
exponweib;0.062133;0.106000;(41.909466853096816, 4.3390169447822515, 0.15761784189670125, 0.43468786353268696)
weibull_min;0.063354;0.094000;(3.1181907467359116, 0.6469938583812003, 0.1288810541077715)
invgauss;0.064413;0.085000;(0.02193858738964677, 0.4949354310686426, 12.189907512309308)
exponnorm;0.065928;0.073000;(0.9129665086569083, 0.7355875471658362, 0.02945654098769626)
johnsonsu;0.066444;0.070000;(-1.5241244489209311, 2.9109856637914344, 0.7074827531737704, 0.0946736690742003)
