Distr;D_stats;p_value;Parameters
beta;0.033251;0.626000;(13.140451377193497, 2.6574664260439858, 0.8805402168060076, 0.11921304173749574)
johnsonsb;0.036127;0.520000;(-1.927884241240935, 1.5202439654013475, 0.9065019379631885, 0.09608401067488626)
pearson3;0.036375;0.511000;(-1.0197026225098296, 0.9796987010432552, 0.011048888240613008)
powernorm;0.039465;0.407000;(9631.709321674542, 1.1141931396532585, 0.03497606690399806)
exponweib;0.039740;0.398000;(0.38390396487144596, 13.82328746246384, 0.9172110959520948, 0.07294653736394228)
johnsonsu;0.040730;0.368000;(8.745834592888635, 2.817975145120892, 1.0099236901104862, 0.002553878469810594)
gumbel_l;0.042745;0.312000;(0.9847021615297604, 0.008649381678156891)
Distr;D_stats;p_value;Parameters
pearson3;0.018491;0.994000;(-0.9422809424499534, 0.9802506943573183, 0.010523468543045877)
beta;0.018492;0.994000;(25440.33995343426, 4.503052366514837, -125.19512748987324, 126.19771189777738)
exponweib;0.019294;0.991000;(0.6219579082260858, 13.635549346813285, 0.8958770439320813, 0.09202436266398395)
gengamma;0.019205;0.991000;(0.6353005700192009, 14.368361221757352, 0.8910345117184886, 0.09774806371805875)
johnsonsu;0.020110;0.985000;(9.547941804125795, 3.2768881263133496, 1.0136181512468734, 0.0034666914476471494)
johnsonsb;0.020555;0.981000;(-2.4397604359719414, 1.781291486333571, 0.8918004829781148, 0.11292588041971949)
gumbel_l;0.020693;0.980000;(0.9850599506341519, 0.008452869157328013)
powernorm;0.025799;0.885000;(3402.401170030853, 1.0939190509376004, 0.03175555086514445)
Distr;D_stats;p_value;Parameters
beta;0.036095;0.521000;(14.893803420795491, 3.439563069493767, 0.887507975601361, 0.11444488814049011)
powernorm;0.037853;0.460000;(2481.7789502805153, 1.087931146255389, 0.03074737255941222)
johnsonsb;0.038910;0.425000;(-2.049859219236999, 1.7594908667524756, 0.9063469226308121, 0.09907987786468819)
johnsonsu;0.039763;0.398000;(9.820041250946293, 3.435018570524952, 1.0148957651558583, 0.003795362023492916)
pearson3;0.040422;0.377000;(-0.8491243189643782, 0.9804807123192163, 0.010266965563194352)
gumbel_l;0.050212;0.155000;(0.9852268925986034, 0.008367052154274515)
Distr;D_stats;p_value;Parameters
powernorm;0.032854;0.641000;(2455.583153029733, 1.0937434852014691, 0.0324966491182999)
johnsonsu;0.040226;0.383000;(10.203093837637843, 3.246655733721833, 1.0148652765679356, 0.0028550609151217344)
gumbel_l;0.047816;0.197000;(0.9852920377636546, 0.008818410311901297)
beta;0.049699;0.164000;(7.14680904825124, 2.248860669009071, 0.9183227622407658, 0.08147161630857132)
pearson3;0.050403;0.152000;(-0.9869713614582063, 0.9802716806139566, 0.011038145913136366)
johnsonsb;0.051631;0.134000;(-1.4555963210418967, 1.375477004017651, 0.92263570773235, 0.07991620658085492)
Distr;D_stats;p_value;Parameters
beta;0.034588;0.576000;(14.045593064577245, 3.021895014344171, 0.884301692638652, 0.11622582810521052)
johnsonsb;0.036104;0.521000;(-2.0288140747441687, 1.6472550264002956, 0.9054853045977731, 0.09822636727237014)
exponweib;0.040115;0.387000;(0.45913846854396706, 12.495059474245384, 0.9171664442094436, 0.07209363931224415)
pearson3;0.042596;0.316000;(-0.9335386915066533, 0.9799472978312844, 0.01057391985961217)
johnsonsu;0.047163;0.209000;(9.888970413268474, 3.10786746716, 1.0120025971933209, 0.00253163900358203)
powernorm;0.047571;0.201000;(3352.8150854282276, 1.0939840730320565, 0.03189349385898225)
gumbel_l;0.048949;0.176000;(0.9847888229085571, 0.00846030465722415)
gengamma;0.052189;0.127000;(2.312669895254662, 16.251781935188177, 0.7538314339507058, 0.2176658083810023)
