Distr;D_stats;p_value;Parameters
gengamma;0.041335;0.530000;(3.185099591910383, 1033517.016147183, -23186.8864798668, 23187.840551082867)
powernorm;0.058980;0.141000;(8957.264964235823, 1.1474966278193994, 0.04472629927624622)
exponweib;0.061000;0.118000;(0.5529485486307124, 10.258539366252378, 0.8968806069978479, 0.09046152112143002)
gumbel_l;0.073016;0.035000;(0.9828020537939532, 0.011106346936333503)
beta;0.077314;0.021000;(11.769624392785172, 2.367620850176834, 0.8539985879077275, 0.14698017792017126)
johnsonsu;0.078234;0.019000;(8.786423449220294, 2.6694405181369056, 1.013451438780868, 0.002576416154161457)
johnsonsb;0.080856;0.014000;(-1.9748154121725172, 1.4709340413789134, 0.8799369048480709, 0.12473775164761383)
pearson3;0.081517;0.013000;(-1.087645386817282, 0.9763563839832496, 0.014365397029735133)
exponpow;0.321080;0.000000;(472816853.6991643, -18501175.346581392, 18501176.336563382)
