Distr;D_stats;p_value;Parameters
gennorm;0.038116;0.451000;(2.1597330742728933, 0.9346223375596562, 0.05373920290391995)
fatiguelife;0.039353;0.410000;(0.004314815497084158, -7.5505431631661555, 8.48548545435376)
f;0.039727;0.399000;(4526448.573686263, 1962844.7435574061, -29.369515837493864, 30.304585805671763)
tukeylambda;0.039995;0.390000;(0.14488653020730913, 0.935071115520826, 0.025423599720561886)
lognorm;0.040139;0.386000;(0.004804209532403304, -6.671259088162698, 7.606241567145352)
norm;0.040292;0.381000;(0.9351789529698654, 0.036612821300062486)
exponnorm;0.040289;0.381000;(3.7269904119465965e-05, 0.9351775467804029, 0.036613125614975754)
t;0.040292;0.381000;(1944004.901639605, 0.9351790985675529, 0.036612900946131795)
nakagami;0.040452;0.377000;(24671.321469667746, -10.591810592865766, 11.527134992098091)
invgamma;0.043564;0.290000;(3559.9274054832204, -1.271869670207331, 7855.024706944154)
erlang;0.044691;0.263000;(213.40565200062434, 0.390350672879207, 0.0025514473086225868)
gamma;0.044794;0.260000;(319.7827562302939, 0.26517697465234136, 0.002093837060646594)
alpha;0.046420;0.224000;(48.12129777548415, -0.8634061754786102, 86.51048753107233)
gausshyper;0.048530;0.184000;(10.8730580050753, 0.7872395087361639, -10.81651480004826, -0.6507252953274012, 0.7264836247381801, 0.27351637526182)
recipinvgauss;0.048608;0.182000;(0.004858063556639624, 0.39772646341653617, 0.0025987557484390203)
invgauss;0.055811;0.085000;(0.009879084653943847, 0.543995840728797, 39.570800643439384)
gengamma;0.056591;0.078000;(5.571308740651618, 5122.838268745363, -418.558863686309, 419.36091356974566)
