Distr;D_stats;p_value;Parameters
gengamma;0.049053;0.174000;(0.681854216425474, 6.805845090832046, 0.8722991681997808, 0.10744589179225472)
beta;0.063015;0.036000;(7.8304349156684125, 2.5508024816482444, 0.8432768188069638, 0.1607048063169021)
johnsonsb;0.064045;0.032000;(-1.6267140042678845, 1.595873202786113, 0.841527217947801, 0.17100283744795508)
exponweib;0.065892;0.025000;(57.928476446409974, 5.989845715285622, 0.460614943918779, 0.39190959940783043)
exponpow;0.070127;0.014000;(4.299017421271413, 0.867127107724945, 0.11660046761254765)
pearson3;0.072728;0.010000;(-0.8310976173289442, 0.9644606233691914, 0.02062443122195265)
johnsonsu;0.073524;0.009000;(10.665645243826354, 3.804690899082509, 1.0405378590776317, 0.008941343774118787)
powernorm;0.075246;0.007000;(1296.3148210566892, 1.1612974213838876, 0.0593555118493822)
gumbel_l;0.080127;0.003000;(0.9740161330410739, 0.016975783377199655)
Distr;D_stats;p_value;Parameters
powernorm;0.028934;0.785000;(772.9101786389565, 1.1482314663397384, 0.05832096970600521)
johnsonsu;0.029655;0.760000;(10.092723918453377, 3.8029340925094424, 1.0411993987850057, 0.010609034530770639)
pearson3;0.033583;0.613000;(-0.8114470681840491, 0.9635335311649885, 0.0210443763447832)
gengamma;0.033935;0.600000;(0.5240559583645937, 9.873325537910244, 0.85343439945766, 0.13003283578031014)
johnsonsb;0.037844;0.460000;(-1.6454888525291909, 1.6262623767283886, 0.8361866514018803, 0.1773549146501381)
exponpow;0.040056;0.389000;(4.136455818041455, 0.8674618545472766, 0.11576236082985232)
beta;0.043811;0.284000;(8.08797566379117, 2.643283236815793, 0.8380573879755844, 0.16651862994294137)
gumbel_l;0.044639;0.264000;(0.9733016678118205, 0.017387018645323167)
exponweib;0.077097;0.005000;(20.816633704657384, 3.529230836165322, 0.7298723018626281, 0.16410267976471754)
