Distr;D_stats;p_value;Parameters
beta;0.035038;0.733000;(9.710022846153809, 2.8244456392065347, 0.9082507273735905, 0.09282988975093517)
powernorm;0.036125;0.698000;(1624.9319830425939, 1.0848376902621935, 0.03097506530325743)
johnsonsb;0.037934;0.639000;(-1.5423268776219574, 1.5148629776461326, 0.9198409716670132, 0.08410466584052148)
exponweib;0.038406;0.624000;(0.7533611407281785, 6.362486086843591, 0.9323204484029954, 0.05394358521456256)
johnsonsu;0.040601;0.553000;(9.99892251101635, 3.4458592918002475, 1.0159394222940006, 0.0037778486737878895)
exponpow;0.041696;0.519000;(4.182502050129976, 0.9317219384758246, 0.058287129201415794)
pearson3;0.041980;0.510000;(-0.8789337620438936, 0.9801608736493184, 0.010683769013488355)
gumbel_l;0.050007;0.296000;(0.9850804011163268, 0.008685227875715778)
gengamma;0.728836;0.000000;(0.9438744222043463, 0.4090178146525949, 0.9428769017980635, 1.2561970117928614)
